       ---WORD---   ---COUNT---
1.         the          5530                
2.          of          2566                
3.          to          2431                
4.          a           2015                
5.         and          1803                
6.          i           1682                
7.          in          1577                
8.         you          1464                
9.         that         1289                
10.          is          1038                
11.          it          850                 
12.         with         721                 
13.          on          569                 
14.         for          568                 
15.          my          566                 
16.          me          562                 
17.          as          548                 
18.         this         510                 
19.         her          506                 
20.          at          501                 
21.         have         481                 
22.         but          470                 
23.         was          469                 
24.         from         462                 
25.          be          454                 
26.          he          448                 
27.         not          443                 
28.         are          404                 
29.          or          394                 
30.         she          371                 
31.          by          362                 
32.          if          356                 
33.         his          346                 
34.         your         339                 
35.         one          322                 
36.          an          319                 
37.         what         315                 
38.         had          313                 
39.         all          311                 
40.        which         309                 
41.         who          299                 
42.        there         287                 
43.        would         282                 
44.         they         251                 
45.         can          240                 
46.         book         239                 
47.         has          238                 
48.         like         233                 
49.          we          233                 
50.         its          223                 
51.          no          222                 
52.         him          215                 
53.        other         208                 
54.         only         200                 
55.       reading        194                 
56.         when         192                 
57.          so          186                 
58.         now          184                 
59.         will         175                 
60.         them         174                 
61.          do          173                 
62.         were         169                 
63.         out          169                 
64.         more         167                 
65.        books         166                 
66.         then         166                 
67.         time         165                 
68.          up          164                 
69.         read         162                 
70.         into         162                 
71.        their         158                 
72.         know         156                 
73.        could         147                 
74.         also         147                 
75.       because        143                 
76.        novel         142                 
77.         been         139                 
78.         here         139                 
79.         say          138                 
80.        about         138                 
81.        first         127                 
82.         even         127                 
83.         some         121                 
84.       perhaps        120                 
85.        every         118                 
86.         see          115                 
87.         our          114                 
88.       ludmilla       113                 
89.      something       111                 
90.         two          110                 
91.       another        110                 
92.          us          109                 
93.        where         109                 
94.        reader        107                 
95.          go          106                 
96.         dont         105                 
97.        moment        102                 
98.       through        99                  
99.        before        99                  
100.         says         99                  
101.        world         98                  
102.         must         98                  
103.          am          97                  
104.         any          97                  
105.         down         97                  
106.         too          95                  
107.       between        92                  
108.       already        91                  
109.         over         91                  
110.        these         90                  
111.         come         90                  
112.         make         90                  
113.       without        90                  
114.         way          88                  
115.        again         86                  
116.         man          86                  
117.         back         86                  
118.       nothing        84                  
119.         same         84                  
120.        story         83                  
121.        around        83                  
122.        those         82                  
123.        myself        82                  
124.        always        80                  
125.         each         79                  
126.         said         76                  
127.         tell         76                  
128.         how          76                  
129.         very         75                  
130.         take         75                  
131.         want         74                  
132.        pages         73                  
133.         eyes         73                  
134.        words         72                  
135.         new          69                  
136.         look         69                  
137.       writing        69                  
138.        never         69                  
139.         many         68                  
140.        little        68                  
141.        house         68                  
142.         end          68                  
143.        things        68                  
144.         find         68                  
145.         off          67                  
146.        seems         67                  
147.        place         67                  
148.        woman         66                  
149.        still         66                  
150.         ask          66                  
151.        since         65                  
152.        after         64                  
153.        author        64                  
154.         than         64                  
155.        think         63                  
156.         long         63                  
157.        people        63                  
158.         page         62                  
159.         why          62                  
160.         feel         61                  
161.        others        61                  
162.       thought        60                  
163.         life         59                  
164.         cant         59                  
165.        young         59                  
166.         hand         58                  
167.        should        58                  
168.         day          58                  
169.         does         58                  
170.         did          58                  
171.       written        57                  
172.          mr          57                  
173.        among         56                  
174.      everything      56                  
175.       yourself       56                  
176.        write         55                  
177.         well         55                  
178.        marana        55                  
179.         most         54                  
180.        writer        53                  
181.         just         53                  
182.        hands         53                  
183.         seem         52                  
184.        novels        52                  
185.      different       52                  
186.       himself        51                  
187.        person        51                  
188.         away         51                  
189.        become        50                  
190.       certain        50                  
191.         else         50                  
192.         much         50                  
193.        cannot        48                  
194.         once         48                  
195.         own          48                  
196.         get          48                  
197.         open         48                  
198.         head         47                  
199.          im          47                  
200.        thing         47                  
201.         try          47                  
202.        right         47                  
203.        being         47                  
204.       looking        47                  
205.        whole         46                  
206.        night         46                  
207.       whether        46                  
208.        though        46                  
209.         made         45                  
210.       against        45                  
211.         isnt         45                  
212.         name         45                  
213.         word         45                  
214.        whose         44                  
215.         both         44                  
216.        toward        44                  
217.         yet          43                  
218.         true         43                  
219.        youre         43                  
220.      telephone       42                  
221.        while         41                  
222.        point         41                  
223.         lost         41                  
224.         move         40                  
225.         bit          40                  
226.         fact         40                  
227.       possible       40                  
228.         mind         40                  
229.        times         40                  
230.         old          40                  
231.       language       40                  
232.         face         40                  
233.        wanted        39                  
234.        least         39                  
235.       anything       39                  
236.         keep         39                  
237.         turn         39                  
238.        having        39                  
239.         give         39                  
240.       believe        38                  
241.        found         38                  
242.        comes         38                  
243.        beyond        38                  
244.        longer        38                  
245.         such         38                  
246.         left         38                  
247.         put          38                  
248.         part         37                  
249.       outside        37                  
250.      beginning       37                  
251.        until         37                  
252.        years         37                  
253.         form         37                  
254.        leave         37                  
255.        behind        36                  
256.       together       36                  
257.         men          36                  
258.        voice         36                  
259.         idea         35                  
260.        under         35                  
261.       stories        35                  
262.        rather        35                  
263.         sure         34                  
264.        might         34                  
265.        police        34                  
266.        order         34                  
267.       lotaria        34                  
268.         able         34                  
269.         felt         34                  
270.     immediately      34                  
271.       flannery       34                  
272.      cimmerian       34                  
273.        along         34                  
274.         side         34                  
275.         came         33                  
276.        knows         33                  
277.         city         33                  
278.         good         33                  
279.        didnt         33                  
280.        secret        33                  
281.        lines         33                  
282.        light         33                  
283.        great         33                  
284.        doesnt        32                  
285.         set          32                  
286.         void         32                  
287.         room         32                  
288.       station        32                  
289.         may          32                  
290.        going         32                  
291.         yes          32                  
292.         next         32                  
293.         mean         32                  
294.         days         31                  
295.        begin         31                  
296.         ill          31                  
297.        shadow        31                  
298.        space         31                  
299.         let          31                  
300.         few          30                  
301.         call         30                  
302.         far          30                  
303.        follow        30                  
304.         work         30                  
305.       authors        30                  
306.         past         30                  
307.      attention       29                  
308.        second        29                  
309.        white         29                  
310.        really        29                  
311.        image         29                  
312.       realize        29                  
313.         run          29                  
314.       continue       29                  
315.         dead         29                  
316.        remain        28                  
317.       instead        28                  
318.         mine         28                  
319.         girl         28                  
320.         ones         28                  
321.       someone        28                  
322.         text         28                  
323.         seen         28                  
324.      recognize       28                  
325.        course        27                  
326.        seemed        27                  
327.        father        27                  
328.      cavedagna       27                  
329.      professor       27                  
330.         use          27                  
331.         soon         27                  
332.        truth         27                  
333.         gaze         27                  
334.       evening        27                  
335.         told         27                  
336.        itself        27                  
337.        works         27                  
338.         need         27                  
339.        single        27                  
340.       waiting        26                  
341.         hear         26                  
342.        volume        26                  
343.        nobody        26                  
344.         body         26                  
345.       general        26                  
346.         desk         26                  
347.        leaves        26                  
348.        zwida         26                  
349.         meet         26                  
350.        asked         26                  
351.       presence       26                  
352.        clear         26                  
353.        inside        26                  
354.         hair         25                  
355.         whom         25                  
356.         last         25                  
357.         air          25                  
358.         copy         25                  
359.         goes         25                  
360.         fake         25                  
361.       various        25                  
362.        theres        25                  
363.        title         25                  
364.       herself        25                  
365.       realized       25                  
366.        answer        25                  
367.        sense         25                  
368.        sister        24                  
369.         stop         24                  
370.       irnerio        24                  
371.        enough        24                  
372.        almost        24                  
373.        matter        24                  
374.         kind         24                  
375.        today         24                  
376.       anacleta       24                  
377.      certainly       24                  
378.         wait         24                  
379.        black         23                  
380.      tormented       23                  
381.        empty         23                  
382.        power         23                  
383.       business       23                  
384.       mirrors        23                  
385.       example        23                  
386.        chair         23                  
387.        thats         23                  
388.         case         23                  
389.        start         23                  
390.        three         23                  
391.      manuscript      22                  
392.        object        22                  
393.         saw          22                  
394.         wind         22                  
395.        seeing        22                  
396.      according       22                  
397.        women         22                  
398.         help         22                  
399.       oquedal        22                  
400.      sensations      22                  
401.         got          22                  
402.      understand      22                  
403.         went         22                  
404.        false         22                  
405.        hidden        22                  
406.        youve         22                  
407.       contrary       22                  
